customer_acquisition_cost,ltv,churn_rate,retention_rate,arpu,mrr,arr,conversion_rate,revenue_per_customer
312.25,2118.51,0.0261,0.7629,66.6,63553.06,705476.19,0.0071,1068.56
264.63,2410.69,0.2959,0.9684,98.36,54446.75,906203.38,0.025,676.94
323.58,2182.05,0.242,0.8493,146.31,63367.55,560424.73,0.1628,675.78
389.23,2736.49,0.262,0.8395,121.05,33413.81,627814.73,0.1074,630.73
257.44,3587.79,0.2113,0.9889,65.76,32820.4,410883.02,0.1341,1007.67
257.44,2046.02,0.064,0.8113,140.95,48147.78,357970.54,0.1503,1253.03
393.44,3433.98,0.019,0.9477,115.77,44243.42,604531.71,0.0635,915.7
332.56,2037.69,0.2608,0.9501,91.82,47902.29,626378.2,0.0631,1330.19
239.79,1986.03,0.1249,0.7675,56.17,42587.73,742501.43,0.0565,1559.85
315.69,3291.23,0.0865,0.7275,118.77,47183.22,719919.76,0.0376,1173.85
240.24,3372.18,0.1729,0.9829,99.82,39509.38,656362.21,0.0644,653.1
240.07,3316.94,0.1321,0.8235,109.95,49703.45,939604.98,0.1908,1077.23
293.15,1619.29,0.199,0.7006,54.8,27011.21,544207.9,0.0218,1478.62
131.5,2285.01,0.1503,0.8447,91.74,58982.74,568451.9,0.0519,850.21
145.63,3294.67,0.2122,0.8796,120.21,54798.97,662083.31,0.067,841.69
232.83,2682.54,0.2575,0.9251,164.42,29679.83,371586.95,0.035,1410.96
199.04,1808.94,0.0667,0.9735,98.5,72384.92,742213.78,0.0201,595.26
298.57,3009.02,0.1055,0.9654,150.7,36856.98,620146.13,0.0366,1112.84
206.9,2090.07,0.1367,0.9726,129.93,70117.69,623863.98,0.1079,854.42
169.08,4055.71,0.289,0.7093,112.4,55935.5,713474.3,0.1214,912.94
384.92,3860.13,0.1159,0.9064,72.94,67009.29,680429.61,0.047,1589.39
258.07,3123.21,0.1205,0.7655,74.27,53407.12,687385.86,0.1032,897.72
280.06,3716.12,0.1995,0.7544,124.56,59852.82,528843.15,0.0062,1088.5
168.14,2700.75,0.1316,0.9321,88.33,66828.47,916755.9,0.1224,1376.63
234.17,3249.59,0.2859,0.821,85.51,81968.63,316493.3,0.0053,643.99
283.32,3807.55,0.2694,0.9658,99.28,68231.32,470255.08,0.1303,1314.72
188.68,2842.31,0.1589,0.7123,99.81,57895.77,496604.72,0.0992,908.09
303.18,2450.1,0.197,0.9326,133.52,28249.54,463306.09,0.0263,644.61
229.95,1314.71,0.0268,0.7397,88.99,10638.73,260173.29,0.0222,894.09
253.12,2584.88,0.2118,0.7512,130.37,48348.23,931522.95,0.0063,1069.69
229.87,3295.01,0.2151,0.8384,118.92,38711.06,733215.38,0.1126,1126.04
413.92,3390.75,0.1142,0.8147,51.99,39317.56,480992.95,0.1623,812.81
273.99,3045.09,0.0737,0.841,114.33,49139.87,744040.76,0.172,981.59
195.67,2225.98,0.2754,0.9726,20.52,61436.1,574216.02,0.116,608.95
336.69,1101.49,0.1337,0.8906,76.65,40255.22,548382.3,0.178,825.87
183.44,2262.08,0.1996,0.7842,119.66,65270.67,415903.02,0.1731,618.7
290.66,2411.6,0.0197,0.7501,104.66,51052.64,609413.67,0.1412,1024.9
128.02,2404.87,0.1301,0.8218,49.02,51120.6,480803.25,0.0758,784.79
175.39,3134.54,0.247,0.831,69.56,81437.44,413507.4,0.1663,1706.99
289.76,4205.45,0.1224,0.8744,22.38,53438.81,795207.59,0.0814,1171.26
330.38,2746.76,0.1849,0.7771,62.49,49606.65,443190.17,0.0836,535.01
287.85,2480.23,0.0709,0.9226,123.34,59144.38,884098.72,0.1372,813.68
266.33,2446.94,0.1308,0.7286,87.35,80152.89,464498.91,0.1859,1272.44
252.42,2747.43,0.279,0.8625,110.38,49728.73,308413.54,0.1025,1127.46
164.11,2001.17,0.1743,0.8808,105.43,57756.01,709960.88,0.0396,552.5
221.01,2744.16,0.2716,0.76,106.03,48713.28,517538.47,0.0328,800.7
